Iteration 91835, loss 2.5603952203363116
Iteration 91836, loss 2.4238740841878994
Iteration 91837, loss 2.4238740841878994
Iteration 91838, loss 2.923874078486789
Iteration 91839, loss 3.9238740784867883
Iteration 91840, loss 3.730619956421591
Iteration 91841, loss 2.7306199564215916
Iteration 91842, loss 3.279584000000003
Iteration 91843, loss 3.279584000000003
Iteration 91844, loss 3.264792000000003
Iteration 91845, loss 2.0226410000000032
Iteration 91846, loss 2.007849000000003
Iteration 91847, loss 1.9293960000000023
Iteration 91848, loss 1.8728915851775414
Iteration 91849, loss 1.8728915851775414
Iteration 91850, loss 1.8728915851775414
Iteration 91851, loss 1.8728915851775414
Iteration 91852, loss 1.8728915851775414
Iteration 91853, loss 1.5300111703550803
Iteration 91854, loss 2.272703585177543
Iteration 91855, loss 2.530313238768411
Iteration 91856, loss 2.530313238768411
Iteration 91857, loss 2.2208509510793606
Iteration 91858, loss 2.2208509510793606
Iteration 91859, loss 2.2208509510793606
Iteration 91860, loss 1.6231117340710377
Iteration 91861, loss 2.1993449962064355
Iteration 91862, loss 2.1993449962064355
Iteration 91863, loss 2.0964603391735004
Iteration 91864, loss 1.508539522806582
Iteration 91865, loss 1.3950477669369763
Iteration 91866, loss 0.8964550481235241
Iteration 91867, loss 1.716138019954958
Iteration 91868, loss 1.4735340199549583
Iteration 91869, loss 1.8874456051324966
Iteration 91870, loss 1.8874456051324966
Iteration 91871, loss 1.6883020000000024
Iteration 91872, loss 1.6883020000000024
Iteration 91873, loss 1.7735470000000018
Iteration 91874, loss 1.7735470000000018
Iteration 91875, loss 1.8885270000000018
Iteration 91876, loss 1.8026780000000016
Iteration 91877, loss 2.2169800000000017
Iteration 91878, loss 2.2169800000000026
Iteration 91879, loss 2.2169800000000026
Iteration 91880, loss 2.2169800000000026
Iteration 91881, loss 2.2169800000000026
Iteration 91882, loss 2.2169800000000026
Iteration 91883, loss 2.2671238118697463
Iteration 91884, loss 3.2008250905437947
Iteration 91885, loss 3.2008250905437947
Iteration 91886, loss 2.7008250905437947
Iteration 91887, loss 2.41844559186437
Iteration 91888, loss 2.0005614857129683
Iteration 91889, loss 2.686861407343945
Iteration 91890, loss 2.4580140868103055
Iteration 91891, loss 3.27793599919491
Iteration 91892, loss 2.5916360775639333
Iteration 91893, loss 2.4796757505076203
Iteration 91894, loss 2.308530000000002
Iteration 91895, loss 2.308530000000002
Iteration 91896, loss 2.551045585177541
Iteration 91897, loss 1.8939411774105541
Iteration 91898, loss 1.8939411774105541
Iteration 91899, loss 1.8939411774105541
Iteration 91900, loss 1.9726961774105538
Iteration 91901, loss 2.1299452622553723
Iteration 91902, loss 2.1299452622553723
Iteration 91903, loss 2.786747670022358
Iteration 91904, loss 2.286747670022358
Iteration 91905, loss 2.286747670022358
Iteration 91906, loss 2.8598318139023604
Iteration 91907, loss 2.8598318139023604
Iteration 91908, loss 4.287212894387622
Iteration 91909, loss 4.201061894387621
Iteration 91910, loss 4.127977750507619
Iteration 91911, loss 4.127977750507619
Iteration 91912, loss 4.627123683450787
Iteration 91913, loss 3.9982916834507884
Iteration 91914, loss 3.1701148538058654
Iteration 91915, loss 1.5855730918960247
Iteration 91916, loss 1.5855730918960247
Iteration 91917, loss 2.1712710804938036
Iteration 91918, loss 2.3282626332561454
Iteration 91919, loss 2.3282626332561454
Iteration 91920, loss 4.077963495316264
Iteration 91921, loss 4.077963495316264
Iteration 91922, loss 3.1734270780117613
Iteration 91923, loss 3.6734270780117613
Iteration 91924, loss 2.140293165750297
Iteration 91925, loss 2.140293165750297
Iteration 91926, loss 1.6683252927809238
Iteration 91927, loss 3.1110387613075643
Iteration 91928, loss 3.1110387156986787
Iteration 91929, loss 2.1266847827555115
Iteration 91930, loss 2.7046847827555114
Iteration 91931, loss 1.8091680000000026
Iteration 91932, loss 1.7943760000000026
Iteration 91933, loss 1.7943760000000026
Iteration 91934, loss 2.0443760000000024
Iteration 91935, loss 1.8095435452718998
0.9896835623730962Iteration 1, loss 0.9896835623730962
Iteration 2, loss 1.630891562373098
Iteration 3, loss 1.373193562373097
Iteration 4, loss 2.8721259329431685
Iteration 5, loss 4.6221259329431685
Iteration 6, loss 4.6221259329431685
Iteration 7, loss 4.59254193294317
Iteration 8, loss 2.7936988081969796
Iteration 9, loss 2.7936988081969796
Iteration 10, loss 2.7936988081969796
Iteration 11, loss 2.8232828081969794
Iteration 12, loss 2.4378478844847944
Iteration 13, loss 2.365370665671342
Iteration 14, loss 2.365370665671342
Iteration 15, loss 1.7020370000000018
Iteration 16, loss 2.2020370000000016
Iteration 17, loss 2.373105158952857
Iteration 18, loss 2.373105158952857
Iteration 19, loss 2.029709158952857
Iteration 20, loss 4.000125158952857
Iteration 21, loss 4.500125158952857
Iteration 22, loss 4.499849000000002
Iteration 23, loss 3.029433000000001
Iteration 24, loss 2.529558193159523
Iteration 25, loss 1.873256193159523
Iteration 26, loss 1.873256193159523
Iteration 27, loss 1.873256193159523
Iteration 28, loss 1.873256193159523
Iteration 29, loss 1.873256193159523
Iteration 30, loss 1.3734072045617458
Iteration 31, loss 1.3734072045617458
Iteration 32, loss 1.3734072045617458
Iteration 33, loss 1.873256193159523
Iteration 34, loss 2.529558193159523
Iteration 35, loss 2.529558193159523
Iteration 36, loss 2.0295581931595232
Iteration 37, loss 2.0295581931595232
Iteration 38, loss 2.0295581931595232
Iteration 39, loss 1.8358857783370612
Iteration 40, loss 2.3358857783370617
Iteration 41, loss 2.529558193159523
Iteration 42, loss 2.529558193159523
Iteration 43, loss 2.529558193159523
Iteration 44, loss 2.529558193159523
Iteration 45, loss 2.529558193159523
Iteration 46, loss 4.499974193159523
Iteration 47, loss 3.9999741931595234
Iteration 48, loss 2.0295581931595232
Iteration 49, loss 2.0295581931595232
Iteration 50, loss 2.0295581931595232
Iteration 51, loss 2.0295581931595232
Iteration 52, loss 1.529709204561745
Iteration 53, loss 1.529709204561745
Iteration 54, loss 1.529709204561745
Iteration 55, loss 1.1154698353481707
Iteration 56, loss 1.3727557967947575
Iteration 57, loss 1.8729067511858701
Iteration 58, loss 1.872755785392536
Iteration 59, loss 1.3726048310014232
Iteration 60, loss 1.872755785392536
Iteration 61, loss 1.929083370570075
Iteration 62, loss 1.8358857783370612
Iteration 63, loss 2.0858857783370617
Iteration 64, loss 2.085823170355079
Iteration 65, loss 1.585929957242737
Iteration 66, loss 1.585929957242737
Iteration 67, loss 1.585929957242737
Iteration 68, loss 1.585929957242737
Iteration 69, loss 1.6013922273704582
Iteration 70, loss 1.757432869554836
Iteration 71, loss 3.4721805285076917
Iteration 72, loss 3.0580295399099136
Iteration 73, loss 3.2297901250874523
Iteration 74, loss 1.5150424661345965
Iteration 75, loss 1.2015324661345963
Iteration 76, loss 0.90134453705829
Iteration 77, loss 0.90134453705829
Iteration 78, loss 1.4013445370582895
Iteration 79, loss 1.4013445370582895
Iteration 80, loss 1.0372047562130018
Iteration 81, loss 1.0372047562130018
Iteration 82, loss 0.8378142900805428
Iteration 83, loss 0.8378142900805428
Iteration 84, loss 0.8378142900805428
Iteration 85, loss 0.96849410512574
Iteration 86, loss 0.9684941051257403
Iteration 87, loss 0.9684941051257403
Iteration 88, loss 2.8178154403468625
Iteration 89, loss 2.085877006114325
Iteration 90, loss 1.9577867787213052
Iteration 91, loss 2.085877006114325
Iteration 92, loss 2.085877006114325
Iteration 93, loss 1.9577867787213052
Iteration 94, loss 1.195866000000002
Iteration 95, loss 2.686111219999371
Iteration 96, loss 2.092491163981819
Iteration 97, loss 1.9412885035034726
Iteration 98, loss 2.961433941130377
Iteration 99, loss 1.716552920862698
Iteration 100, loss 1.3880223407101566
Iteration 101, loss 1.3880223407101566
Iteration 102, loss 1.3880223407101566
Iteration 103, loss 1.3880223407101566
Iteration 104, loss 1.402637511065234
Iteration 105, loss 1.402637511065234
Iteration 106, loss 1.1189692865506708
Iteration 107, loss 1.1189692865506708
Iteration 108, loss 1.1189692865506708
Iteration 109, loss 1.1189692865506708
Iteration 110, loss 2.0893852865506712
Iteration 111, loss 2.145657823945949
Iteration 112, loss 1.6457204091234883
Iteration 113, loss 1.1606008239459484
Iteration 114, loss 1.2022248239459485
Iteration 115, loss 1.2022248239459485
Iteration 116, loss 1.2022248239459485
Iteration 117, loss 1.401130289402294
Iteration 118, loss 3.0577342894022936
Iteration 119, loss 3.4301728517753887
Iteration 120, loss 3.4301728517753887
Iteration 121, loss 3.4301728517753887
Iteration 122, loss 3.213947851775388
Iteration 123, loss 3.213947851775388
Iteration 124, loss 4.213947851775387
Iteration 125, loss 3.586036823945949
Iteration 126, loss 3.586036823945949
Iteration 127, loss 3.086036823945949
Iteration 128, loss 3.086036823945949
Iteration 129, loss 2.257885823945949
Iteration 130, loss 2.586364585177541
Iteration 131, loss 2.248575598102647
Iteration 132, loss 2.66933245152722
Iteration 133, loss 2.66933245152722
Iteration 134, loss 2.66933245152722
Iteration 135, loss 3.5384060355152807
Iteration 136, loss 3.5384060355152807
Iteration 137, loss 2.2587982191485994
Iteration 138, loss 2.2587982191485994
Iteration 139, loss 2.2587982191485994
Iteration 140, loss 3.5384060355152807
Iteration 141, loss 2.2587982191485994
Iteration 142, loss 2.2587982191485994
Iteration 143, loss 3.5384060355152807
Iteration 144, loss 3.5384060355152807
Iteration 145, loss 3.414515585177541
Iteration 146, loss 3.414515585177541
Iteration 147, loss 3.000000102619998
Iteration 148, loss 2.0147921026199986
Iteration 149, loss 2.0147921026199986
Iteration 150, loss 2.0147921026199986
Iteration 151, loss 2.5493679895788572
Iteration 152, loss 2.2577352149071443
Iteration 153, loss 2.7577348239459485
Iteration 154, loss 3.2577348239459485
Iteration 155, loss 2.7577348239459485
Iteration 156, loss 2.512644729306885
Iteration 157, loss 2.5632487327369664
Iteration 158, loss 2.5632487327369664
Iteration 159, loss 2.1219769246932323
Iteration 160, loss 2.1219769246932323
Iteration 161, loss 2.1219769246932323
Iteration 162, loss 2.2912959765208836
Iteration 163, loss 2.2912959765208836
Iteration 164, loss 2.791105290046118
Iteration 165, loss 2.791105290046118
Iteration 166, loss 2.791105290046118
Iteration 167, loss 2.565396106050081
Iteration 168, loss 3.280590002967896
Iteration 169, loss 3.280590002967896
Iteration 170, loss 3.2805900029678963
Iteration 171, loss 4.2795840000000025
Iteration 172, loss 2.294376000000002
Iteration 173, loss 2.294376000000002
Iteration 174, loss 4.2795840000000025
Iteration 175, loss 3.279584000000002
Iteration 176, loss 2.5148987811865497
Iteration 177, loss 2.5148987811865497
Iteration 178, loss 3.279584000000002
Iteration 179, loss 1.809168000000002
Iteration 180, loss 2.309168000000002
Iteration 181, loss 2.309168000000002
Iteration 182, loss 1.7608990221304657
Iteration 183, loss 1.7608990221304657
Iteration 184, loss 2.309168000000002
Iteration 185, loss 1.809168000000002
Iteration 186, loss 1.496283851775389
Iteration 187, loss 1.496283851775389
Iteration 188, loss 1.496283851775389
Iteration 189, loss 1.496283851775389
Iteration 190, loss 1.496283851775389
Iteration 191, loss 1.496283851775389
Iteration 192, loss 2.966699851775389
Iteration 193, loss 2.966699851775389
Iteration 194, loss 2.966699851775389
Iteration 195, loss 2.966699851775389
Iteration 196, loss 3.279584000000002
Iteration 197, loss 3.279584000000002
Iteration 198, loss 3.250000000000002
Iteration 199, loss 3.250000000000002
Iteration 200, loss 1.7726410000000024
Iteration 201, loss 1.7726410000000024
Iteration 202, loss 1.7726410000000021
Iteration 203, loss 1.7726410000000021
Iteration 204, loss 1.7163760000000023
Iteration 205, loss 1.7163760000000023
Iteration 206, loss 1.1042950221304662
Iteration 207, loss 1.1042950221304662
Iteration 208, loss 1.1902950221304665
Iteration 209, loss 1.8023760000000026
Iteration 210, loss 1.8023760000000026
Iteration 211, loss 1.8023760000000026
Iteration 212, loss 1.3023760000000026
Iteration 213, loss 1.3023760000000026
Iteration 214, loss 0.6902950221304665
Iteration 215, loss 1.3594729679709792
Iteration 216, loss 1.344607502514635
Iteration 217, loss 1.344607502514635
Iteration 218, loss 1.344607502514635
Iteration 219, loss 1.059845556674121
Iteration 220, loss 1.545053556674121
Iteration 221, loss 1.4738088239459484
Iteration 222, loss 1.1875062894022927
Iteration 223, loss 2.1875062894022927
